filename,Quality,typs,Blurr,usability considering blur
044f2ae2-8119-4564-9aca-29ece458ab20.jpeg,,underwear,no blurr,focused enough
04579e1b-63f1-4c0c-a2e7-4bbde0f34324.jpeg,,finger,blurry background,too blurry
047bbea6-14cd-417b-a6f6-4888cc7a1ba9.jpeg,,tissue,no blurr,focused enough
04f3466e-1fb4-4d1e-a26e-992e2e5f7618.jpeg,,underwear,blurry background,focused enough
0a1c0a2f-a82f-46cc-a9fa-023e6fbb19f2.jpeg,,finger,blurry background,focused enough
0a8a407e-8084-4e78-b63a-d29f8eeda027.jpg,,underwear,no blurr,focused enough
0bcf0ec3-31b8-481d-8211-d3b70644bb7f.jpeg,,underwear,no blurr,focused enough
0be6c0f3-7efc-456f-acff-f3cb74fd61d9.jpeg,,finger,blurry background,focused enough
0be7dc18-ff9f-4bb6-9ff8-b9b9573aeb09.jpeg,,tissue,blurry background,focused enough
0d53f014-d617-40ec-a43b-249060d46601.jpeg,,finger,blurry background,focused enough
0e636c4c-71a7-4e05-bde7-5190a4d1e902.jpeg,,finger,blurry background,focused enough
0f68a454-0790-48ea-981e-e95bd2afb4a3.png,,finger,no blurr,focused enough
0fea87d4-c19f-42ef-b14d-c4efaa2e9b93.jpeg,,underwear,no blurr,focused enough
13b594bf-3605-475a-9c39-306e6fefa209.jpeg,,underwear,no blurr,focused enough
14a31483-6e1f-42cc-ac8a-f49555ae8d61.jpeg,,underwear,no blurr,focused enough
1517694c-3405-460a-bb1b-2df0a6b7eb79.png,,other,no blurr,focused enough
1633d15c-28bd-4d56-8205-c60380b0af2b.jpeg,,underwear,blurry background,focused enough
16c934e9-56e3-47b2-a7e0-ce38ecf60942.jpg,,finger,blurry foreground,too blurry
1781ad0d-63cc-4f9c-a48a-be8c63118917.jpeg,,finger,blurry background,focused enough
181af382-7835-42e0-bea0-b9a11f76b962.jpeg,,finger,no blurr,focused enough
1a088b92-37d2-4f2c-bac8-4987d4acca80.jpeg,,tissue,blurry background,focused enough
1a3201b2-3ba3-42e8-a02e-28fb6754046f.jpeg,,finger,blurry foreground,too blurry
1a6c16a8-2dab-412e-bd52-7934316725e5.jpeg,,finger,blurry background,focused enough
1b0e2066-48ec-4ab9-9d45-cb8619894663.jpeg,,underwear,no blurr,focused enough
1bc425fc-1778-44ab-a062-195acec66369.jpeg,,underwear,no blurr,focused enough
1beda9a1-2f73-4c43-8987-e3517c935975.jpeg,,finger,blurry background,focused enough
1ce95fc9-b049-4f3d-b551-c3768dc5ea66.jpeg,,finger,no blurr,too blurry
1ec5a259-542a-4583-a161-b74e315c4e1c.jpg,,underwear,no blurr,focused enough
1fbc1f82-31f9-4bd2-8b4a-677a82eae976.jpeg,,finger,blurry background,focused enough
1fd8daa5-6bc0-4264-9d85-fcd8aef3fc4f.jpeg,,finger,blurry background,focused enough
21adb45b-6943-4908-b87d-2cb7452eb872.jpeg,,finger,blurry background,focused enough
21c983a6-179f-4755-8a9c-8bc1e25db241.jpg,,other,no blurr,focused enough
22890016-5a5d-4a9e-803a-de306190ba6b.jpeg,,finger,blurry background,too blurry
22cf320b-3858-4df6-8353-c1177bb4a77a.jpeg,,finger,blurry foreground,too blurry
236f300c-7eae-47a5-bea8-8b3b6bc65c35.jpeg,,underwear,blurry foreground,too blurry
236f755e-f637-4009-805a-98e54c3b5727.jpg,,finger,blurry background,focused enough
237738ee-564a-440f-9ee4-a9f82667efe8.jpeg,,tissue,no blurr,focused enough
23d12212-4830-4e9e-96eb-3933863f84be.jpeg,,finger,blurry background,too blurry
23e50a9f-2507-4615-a0a8-33329294e9b4.jpeg,,underwear,no blurr,focused enough
24fcb0c5-d63f-40e6-81d4-f70b8297dbe0.jpeg,,finger,no blurr,focused enough
25657e9e-7666-46f2-a04a-be9c41a352ff.jpeg,,finger,blurry background,focused enough
257658e9-5248-4e5d-a6a2-812cabd98163.jpeg,,underwear,no blurr,focused enough
272c9cc9-e572-4ef2-9a5d-629675d2ae33.jpeg,,tissue,no blurr,focused enough
2889542a-506b-446e-b390-11a2ec1054c9.jpg,,finger,blurry background,focused enough
28d04419-2b55-4ae1-b408-11276b07ae90.jpeg,,underwear,blurry background,focused enough
2a79d1e4-246e-4a1c-aaa0-ede9d4f4a889.jpeg,,underwear,burry,too blurry
2af3a4df-f83e-40d8-a791-fc74d0b88ece.jpeg,,finger,blurry foreground,too blurry
2afc8373-0e7a-43e8-b663-1d9fa3cb188c.jpeg,,finger,blurry background,focused enough
2afe7032-bbe4-4eec-aae9-b9de1fab3542.jpeg,,finger,blurry background,focused enough
2c845970-4e06-44db-89ad-481359763d50.jpg,,underwear,no blurr,focused enough
2d863e09-3319-4e35-8ea2-e653a4f2af82.jpeg,,finger,blurry foreground,too blurry
2e1be118-eff4-4a57-abfc-d244ae6d4618.jpeg,,finger,burry,too blurry
304ca068-e3b3-45ce-93b1-143f16559e25.jpeg,,tissue,no blurr,focused enough
31099184-7020-4fa9-855c-0269b9448235.jpg,,finger,blurry background,focused enough
3171fed2-bdc7-4a10-a1d1-73c1dd13afb9.jpeg,,underwear,blurry background,focused enough
3286e838-ab6e-42d6-9192-59337c06d335.jpg,,underwear,no blurr,focused enough
35daf08c-bd2d-464b-85b5-b76b697012d4.jpeg,,underwear,blurry background,focused enough
367ac705-cdc6-4c5d-8b65-8940d878117c.jpeg,,finger,blurry foreground,too blurry
36e8dd3b-2e35-45c4-9fa0-8e0c306efa9a.jpeg,,underwear,no blurr,too blurry
385d5f91-d22c-4b8b-8030-8248652446d2.jpg,,finger,blurry background,focused enough
38c42910-b7d7-4f46-9251-7eefb2666545.jpg,,other,no blurr,focused enough
39970494-202d-45a7-9cce-37f814237bb4.jpeg,,tissue,no blurr,focused enough
39c0e019-a397-4c89-8310-3ef4acb79b07.jpeg,,tissue,no blurr,focused enough
39d300d1-3d53-468c-a5f2-b44fb3af0e05.jpg,,other,no blurr,focused enough
3a438b09-03dd-4efc-ad8d-ba3ea74a0654.jpeg,,finger,blurry background,focused enough
3ba51b38-d3aa-41c4-b249-1284b65990ce.jpeg,,finger,blurry foreground,too blurry
3ba6aede-04c5-4dde-8b83-1802c25b656a.jpeg,,underwear,no blurr,focused enough
3bb36097-3196-46d6-beba-d0e125f541ba.jpg,,underwear,no blurr,focused enough
3d9f5a8a-5785-43a0-a862-330b21176516.jpeg,,finger,blurry foreground,too blurry
3e0b2741-da98-449a-96af-ad2e81cd64d3.jpeg,,finger,no blurr,focused enough
3e6feb52-603c-4ae5-8d9b-47a6721f9a84.jpeg,,underwear,no blurr,focused enough
3f213d28-679b-4476-8e19-6fc91d5cd840.jpg,,tissue,burry,too blurry
3f72cbb1-ca0b-4c69-84d7-d6efe778bfa4.jpeg,,underwear,no blurr,focused enough
4267f0c9-16b7-4b2c-9d82-b04656a12905.jpeg,,finger,no blurr,focused enough
428a6f05-efdd-4d95-a9bc-ba12f886032a.jpeg,,underwear,no blurr,focused enough
42a3d4ee-e476-4f05-ac6e-26e1b07da23e.jpeg,,underwear,no blurr,focused enough
4314c5a9-706a-4b81-bf14-b980db4a0c0d.jpeg,,finger,burry,too blurry
4329851a-f6be-4c97-bbc6-fcb60b391cc5.jpeg,,finger,blurry foreground,too blurry
461cef39-c857-4617-b8dc-854a4d07fc02.jpeg,,underwear,blurry background,focused enough
461f3d88-6a9a-4bde-9d07-0b315abc4805.jpg,,underwear,no blurr,focused enough
4659862d-065b-4456-8081-e9727005dd1f.jpg,,finger,blurry background,focused enough
4673b762-8525-48ba-908c-f05a96216cd9.jpg,,other,no blurr,focused enough
4862649d-a301-416e-98d5-b8bb33367d4c.jpeg,,tissue,no blurr,focused enough
48f0d953-b8c8-49a4-ac30-6a222aaea163.jpeg,,finger,blurry background,focused enough
4978d8da-103d-4051-9553-9a9324c9a47b.jpeg,,finger,blurry background,focused enough
4a7bf270-481a-42a8-b2d0-42056eab1be9.jpg,,finger,no blurr,focused enough
4ce7a70f-451a-4866-9128-47a0555fa7be.jpeg,,finger,burry,too blurry
4ed1b9f3-8bed-414c-8576-94c43cb92719.jpg,,other,burry,too blurry
4f0eca68-9910-4cdf-a106-1702b1aa4997.jpg,,finger,blurry background,focused enough
4f51cba1-68be-4100-878e-c862713bca96.jpeg,,finger,blurry background,focused enough
4f9b30b3-00fa-4f1d-9631-788f9d14c81d.jpeg,,underwear,no blurr,focused enough
50150d1a-8355-4a10-99e7-9ce321a4e0ca.jpeg,,finger,blurry background,focused enough
50da3027-3dde-4533-a5d6-70b173e2f9c0.jpeg,,tissue,blurry background,focused enough
50e2c437-83f2-4809-be6e-3f06d4192f41.jpeg,,underwear,no blurr,focused enough
510badec-ccff-42e1-ad35-96a3dd1c9a6f.jpg,,finger,blurry background,focused enough
5111f6b9-cec7-494d-92c3-615a1b4c0db5.jpeg,,underwear,blurry background,focused enough
5126f66f-ea33-41ec-8fa5-d823591007d5.jpeg,,finger,blurry background,focused enough
512962b0-182f-4213-8601-cdb2ed441aae.jpeg,,underwear,no blurr,focused enough
52688e6a-6fda-40d3-8440-91357c32b6c8.jpeg,,tissue,no blurr,focused enough
52e2720b-97b5-429c-953d-0e47cdab745d.jpeg,,finger,blurry foreground,too blurry
5323233c-d114-4b4c-8879-6367372f42c9.jpeg,,tissue,blurry background,focused enough
53d44a80-884f-46c2-87d9-f667cac6d94f.jpeg,,finger,blurry foreground,too blurry
53ff425a-8088-460b-b029-ae2047e026d4.jpeg,,finger,no blurr,focused enough
570e8a35-7a7e-476b-a917-155e93a3691a.jpeg,,finger,blurry background,focused enough
5776d05a-17e3-4fac-821f-1406213f4254.jpeg,,tissue,no blurr,focused enough
580d259f-f6f0-4ae8-9654-c718b9f71773.jpeg,,finger,no blurr,too blurry
58b2dfbc-8d43-46eb-850a-2055191e7aa3.png,,other,no blurr,focused enough
58cf691c-48c6-487d-a2d9-3e12cd92dbae.jpeg,,finger,blurry background,focused enough
59adae34-a3b0-470a-8edc-fa9bf6b685e9.jpeg,,tissue,blurry background,focused enough
5a09e0a8-bb2b-4182-926a-d2241d8ef816.jpeg,,underwear,no blurr,focused enough
5adf5848-3ef3-492b-be67-f05ee9cfe170.jpeg,,finger,blurry foreground,too blurry
5b2ff8d3-c8ae-424e-bfa0-d20d88d0ab84.jpeg,,underwear,no blurr,focused enough
5c77dcd2-519b-4680-ab9c-93b128e8595f.jpeg,,tissue,blurry foreground,too blurry
5cf9d729-6a4f-4b0b-acc3-8d59e135cd8e.jpeg,,underwear,no blurr,focused enough
5d2063db-4213-4115-9f09-ecbb725a4734.jpeg,,finger,no blurr,focused enough
5f7d816c-6290-4743-87ca-c5ae5159a88f.jpeg,,tissue,burry,too blurry
6001cfdd-689a-4f53-b469-1fd40f6207c6.jpeg,,tissue,burry,too blurry
602f5ee8-e47a-44fd-9dcd-605e708b7c98.jpg,,underwear,no blurr,focused enough
6145135e-48b1-4e2f-b4ae-515454ada44d.jpeg,,underwear,blurry background,focused enough
61ac47b8-6e6a-4fea-af32-44a89f262d8e.jpeg,,underwear,blurry background,focused enough
640f165b-84bf-4b69-bbd5-334256a43381.jpeg,,tissue,no blurr,focused enough
6474aedd-50a0-4efd-9851-4fac26b8c20b.jpeg,,tissue,no blurr,focused enough
647e0554-bfc8-41ac-a4ae-79b386047b24.jpeg,,tissue,no blurr,focused enough
66887d1b-d9de-46bc-98e9-863b1d088d3d.jpeg,,finger,blurry background,too blurry
67c96de4-a386-4782-8fbe-e25dd965c963.jpeg,,finger,blurry foreground,too blurry
693985a9-ed81-4bf3-a483-d0ca0775fe3f.jpeg,,tissue,no blurr,focused enough
6b29e31b-d25c-4b2c-ac93-7922e2b77305.jpeg,,underwear,no blurr,focused enough
6bac6757-112b-4fad-b3e1-43ef835061ae.jpeg,,tissue,blurry foreground,too blurry
6c660408-bf5b-4670-a22a-9f1eba6598df.jpeg,,finger,blurry foreground,too blurry
6e36e771-909e-4677-a09a-780028619a66.jpeg,,finger,blurry background,too blurry
6e52703c-efc8-44a9-9616-4bea51c5bf43.jpeg,,tissue,blurry foreground,too blurry
6e5dc47b-1a42-4c82-a2d6-4977d709422e.jpeg,,underwear,no blurr,focused enough
6ea0589a-2db5-493c-b5b3-24d6d3b2beb5.jpeg,,finger,blurry background,focused enough
70c3babd-5565-4ee1-97d6-2eeec89b6cf3.jpeg,,finger,blurry background,focused enough
7180f65c-ce70-48af-8249-3c33d29b4353.jpeg,,finger,blurry background,focused enough
7377aef2-1f41-4f4f-aeab-d3647cff8097.jpeg,,tissue,blurry background,focused enough
7481c8fb-97e8-436d-bacf-2e1331fb3dc6.jpeg,,finger,blurry background,focused enough
74d0f390-9594-43de-825c-2a0047837c88.jpeg,,tissue,blurry background,focused enough
74e1acaf-deaa-490a-9267-a3da216e0f3e.jpeg,,underwear,no blurr,focused enough
76399f5c-fc41-4354-b744-f8e845e180d7.png,,finger,no blurr,focused enough
771aaec1-2673-4f8b-b297-c4f51b074e0e.jpeg,,finger,blurry background,too blurry
7904c4db-eada-4b14-a6d6-e9dfa617f529.jpeg,,finger,blurry background,focused enough
7e438395-3c5e-450e-8e4b-ea6bd8b5e594.jpeg,,finger,blurry background,focused enough
7fdfbb20-c4f3-4398-a8d1-9e1e561c54fd.jpg,,other,no blurr,focused enough
81eeddf3-5c1b-4b14-bab7-00e108ed5931.jpeg,,tissue,no blurr,focused enough
8301d510-53b6-433f-a2d8-54822c3a8917.jpeg,,finger,blurry foreground,too blurry
832e64da-b208-4dc9-b1a5-00db4743c6d9.jpg,,finger,burry,too blurry
835c9ecb-db28-4234-a108-85befd83313d.jpeg,,tissue,no blurr,focused enough
84f29697-8e03-4c26-af2f-314123ac1dbb.jpeg,,finger,blurry background,focused enough
84f632f4-8783-4b90-8aea-81ffdd4a74b5.jpeg,,tissue,no blurr,focused enough
84fd67b8-ca50-4114-b1a5-3a38b48edae5.jpeg,,tissue,no blurr,focused enough
8543c025-4a2b-4116-80f9-516ee95313a2.jpeg,,tissue,no blurr,focused enough
87324f94-fec4-42bc-8846-6fa79acac023.jpeg,,underwear,no blurr,focused enough
8742c9f9-fc1b-454d-ab62-dbdae827b96b.jpeg,,finger,blurry background,too blurry
8814133c-d85c-42ef-9537-83f057ffba2f.jpeg,,finger,blurry background,focused enough
8838bf0e-54ea-4a5f-982c-2b899fb280d3.jpeg,,underwear,no blurr,focused enough
8a763d0d-5272-4ceb-916b-9a64042522b8.jpg,,finger,blurry background,focused enough
8ab12560-f4a6-487d-a045-e07134cf6c96.jpeg,,tissue,blurry background,focused enough
8ad02889-aab6-4e25-8d17-617d45d410c0.jpeg,,finger,blurry background,focused enough
8bb69ab7-ce3c-482a-aad0-25fa8dd20c23.jpeg,,finger,blurry background,focused enough
8bbe9347-13c1-4dbf-b98e-f32d28c90a5b.jpeg,,finger,blurry foreground,too blurry
8bd084f7-f235-486d-b6b3-f07ea56e4c31.jpeg,,finger,blurry background,focused enough
8dc6aba8-500f-4ded-ab20-b8a2c86ed9bf.jpeg,,tissue,no blurr,focused enough
8fda75a9-d901-4471-881b-5b2b9ae9036a.jpg,,finger,blurry background,focused enough
91085943-d9e5-4fc9-9c42-0f27fe8a96ef.jpeg,,finger,no blurr,focused enough
92f8fdf6-4229-4b63-b26e-a401c6bfa1dd.jpeg,,tissue,blurry background,focused enough
94067f67-3f37-490e-b138-3a1df1ba0d91.jpeg,,underwear,no blurr,focused enough
94f08fae-30c8-4197-aa3f-83ef91219bca.jpg,,finger,blurry background,focused enough
958f0536-caf8-413d-9c87-e8fe80f013ea.jpeg,,tissue,no blurr,focused enough
964042f5-60a2-414c-b695-07d285183720.jpeg,,finger,blurry background,focused enough
9786dec3-ca4f-4389-8923-8184307137dd.jpg,,tissue,blurry background,focused enough
97f57d6d-d973-4036-8b75-e609f1d4772e.jpeg,,underwear,no blurr,focused enough
9879d0d2-0063-4e06-9429-e5afe4abbd0b.jpeg,,underwear,no blurr,focused enough
9a153365-813a-4158-b53b-4f638e4b489b.jpeg,,underwear,no blurr,focused enough
9a4ee1cb-cc78-43c5-af56-6a48e9a91e12.jpeg,,finger,blurry foreground,too blurry
9a5b0f7a-135f-4749-9658-17fdaf5beb85.jpeg,,finger,blurry background,focused enough
9a7e32d3-772b-40bc-8fdb-5f6408b95629.jpg,,finger,no blurr,focused enough
9cbe24f7-f750-4add-9d86-2eee8af882df.jpeg,,finger,blurry background,focused enough
9f7958d6-6d1b-4446-8fd1-861de1617908.jpeg,,finger,no blurr,too blurry
a0eac700-0a20-489d-aa4c-cd6f9537c83c.jpeg,,finger,blurry foreground,too blurry
a0f56689-6dbf-4ba0-bf87-7b827b34c3e0.jpg,,tissue,blurry background,focused enough
a1810b1e-8dae-44c4-a84a-b7cfc3fbe1b3.jpeg,,underwear,no blurr,focused enough
a1c06c09-1b4d-44cb-8658-b1b6005c00e2.jpeg,,underwear,no blurr,focused enough
a202991f-a15b-4397-8e09-fa39971fa22a.png,,finger,no blurr,focused enough
a216bbe8-d7e1-4cbe-badc-81d79af939db.jpeg,,finger,blurry background,focused enough
a27e9b4d-35bb-4fd8-87b9-cab9dfbe440a.jpeg,,underwear,blurry background,focused enough
a280769b-6b7c-4a21-a588-617b3d0bf9c6.jpeg,,underwear,blurry background,focused enough
a4e78f19-58e1-479e-afd7-79ff43c13f43.jpeg,,finger,blurry foreground,too blurry
a51897a1-00ac-44c2-9569-11df9a53f269.jpeg,,finger,blurry background,focused enough
a61d7a6b-dfd4-4434-be0d-d3962a39bcbb.jpeg,,tissue,burry,too blurry
a64e299e-a606-4be8-94bb-e30f145197d2.jpeg,,tissue,burry,too blurry
a653df6a-cf9f-40a3-acc4-567d5bdfa24f.jpeg,,finger,burry,too blurry
a70bd872-e7d8-40e4-a3c8-e25d626803f3.jpeg,,tissue,blurry background,focused enough
a8181337-baba-4340-9ca0-f8e2ac60474b.jpeg,,tissue,no blurr,focused enough
a9549226-d9d5-4959-afdc-4469435e0922.jpeg,,underwear,blurry background,focused enough
a96caae5-eff3-4c55-95e7-55a92e74ab23.jpg,,tissue,no blurr,focused enough
a9ef84bd-d9ec-4f2b-9f97-f4b79f18cb61.jpeg,,finger,blurry foreground,too blurry
ab5004c1-00b0-4c82-a8a2-0b348554b98c.jpeg,,finger,blurry foreground,too blurry
abfa18db-6181-4b6c-8e69-b82b439155eb.jpeg,,finger,blurry background,focused enough
ac061100-724d-47bd-bc43-78d6318156a1.jpeg,,underwear,blurry background,focused enough
ac1f7cbc-1b59-442f-9b35-fa31aa8c28fa.jpeg,,underwear,no blurr,focused enough
ad43a1c0-425e-4632-85c0-66dc21823b8e.jpeg,,finger,blurry background,focused enough
adf64cba-b62d-49fd-ac7d-7de66a1367b8.jpg,,tissue,blurry background,focused enough
ae44324f-eb89-48e8-aaf8-d405ab347b29.jpeg,,tissue,no blurr,focused enough
ae612d65-cc2a-4b2c-aced-9cff3465b95c.jpeg,,underwear,no blurr,focused enough
b0911a25-5d63-4322-b4a0-33800a6abea5.jpeg,,finger,blurry background,focused enough
b288bd13-9706-4ab2-be81-e186f1e59018.jpeg,,tissue,no blurr,focused enough
b4cbb638-adf6-4eee-8e3b-4a65a5059425.jpeg,,finger,no blurr,focused enough
b62eaf9a-acb2-4a8e-8d35-3da2d7a32201.jpg,,finger,blurry background,focused enough
b7b2b795-0ee8-490d-b9e4-aff7405896f1.jpeg,,tissue,no blurr,focused enough
b80a1281-3a65-49fe-899d-33f8b683d88c.jpeg,,tissue,no blurr,focused enough
b83b597f-361d-4b89-9a39-be91683563ff.jpeg,,finger,blurry foreground,too blurry
b89689c6-b4b2-4435-8002-407cccd4ae6a.jpeg,,finger,burry,too blurry
b8dab289-c2ef-4128-9eff-7f1e84580ef8.jpeg,,finger,blurry background,focused enough
b93b960f-8680-451d-ae88-54e035c8344d.jpg,,finger,blurry foreground,too blurry
b98515cb-85b0-441b-a87f-143c9e3f90a8.png,,finger,blurry background,focused enough
bac901db-0d69-46b2-9763-bd101508f839.jpeg,,underwear,blurry background,focused enough
bb0b0757-25d8-40cc-aed3-a77fa94a46f7.jpeg,,finger,blurry foreground,too blurry
bcbafdcf-a520-4e7c-a99f-34c35d68dc23.jpeg,,tissue,blurry background,focused enough
c26aaaa5-9592-4390-9fc2-9f214c9d276c.jpeg,,underwear,blurry background,focused enough
c493e9fc-aab0-435b-a147-deb8288ccfc5.jpeg,,finger,blurry foreground,too blurry
c4b9da34-b2ab-46bf-89af-4394652b11b5.jpg,,finger,blurry foreground,too blurry
c52f849f-2b53-4df3-b9e7-643be49c69f2.jpeg,,finger,blurry background,focused enough
c5320356-b5a3-4833-8046-23510e31aec1.jpeg,,tissue,blurry background,focused enough
c53d8daf-8b16-49ca-8a13-f1026e877e70.jpg,,tissue,no blurr,focused enough
c7d4013a-692b-4bdc-9c2c-a0f986dbf807.jpeg,,underwear,blurry background,focused enough
c95fa7ec-cc8d-4457-a6a6-591b16ebef81.jpeg,,tissue,blurry background,focused enough
c9a5304d-fba6-4136-baed-ef4224018289.jpeg,,finger,blurry background,focused enough
cca6b0c1-61eb-4e81-9d9e-d6818d4e8b9e.jpeg,,finger,blurry background,focused enough
ce15547e-3e88-457f-a089-31696a4583e4.jpg,,underwear,no blurr,focused enough
d05693be-d2f9-4b59-a896-f913b1a67237.jpeg,,underwear,no blurr,focused enough
d360c9ee-f866-46bd-9458-e448a3fdd4b1.jpeg,,tissue,blurry background,focused enough
d4689e0b-2955-468d-a3f3-32bb110bbe6b.jpeg,,underwear,blurry background,focused enough
d4bbe1c8-1ea2-41b4-9ab3-179977c6b00d.jpeg,,tissue,no blurr,focused enough
d4dcad74-d9b9-4a5e-a68a-ff30028c3a5f.jpeg,,finger,burry,too blurry
d54aabbc-3689-4203-81bd-18424fe33db1.jpg,,tissue,blurry background,focused enough
d584b94e-376a-4833-ab7c-97df3b845d46.jpeg,,tissue,burry,too blurry
d6082fe9-13a9-4858-a85d-eb371cb030a4.jpeg,,finger,blurry background,focused enough
d643d16c-8058-42ce-a148-b379df9fc177.jpeg,,tissue,no blurr,focused enough
d732d252-c0bd-4213-8e79-c140c418b0ea.jpeg,,finger,blurry background,focused enough
d76e28f3-f54f-4e26-9175-75db61043156.jpeg,,finger,blurry background,focused enough
d8663ece-9173-4eb9-81a4-dc20f0c9c965.jpeg,,finger,blurry background,focused enough
da83c3b5-0a93-4a7c-87df-8eb258cab50f.jpeg,,underwear,no blurr,focused enough
dea8428c-3456-4da5-8f39-5d9d74005419.jpeg,,tissue,blurry background,focused enough
def70994-c0f3-4fd0-8928-3ca2fb1b9df4.jpeg,,underwear,blurry background,focused enough
df8f6ec7-34d5-48b9-b92f-15b92f063f31.jpeg,,finger,blurry background,focused enough
e0fefd52-ce8c-4331-b38f-7b72a32ee953.jpeg,,tissue,blurry background,focused enough
e1370453-6144-4572-aee8-a8ba31410493.jpeg,,finger,blurry background,focused enough
e26ff9ae-80f8-4ef3-b2da-1084cf8e1976.jpeg,,tissue,burry,too blurry
e3fb208f-3fa4-4314-9e36-399bc94fc0f6.png,,other,no blurr,focused enough
e51c1299-c45c-43a0-a742-f3a9f5fa20c5.png,,finger,blurry background,focused enough
e56235c8-a1be-4beb-a3ad-f903ff59a308.jpeg,,finger,blurry background,focused enough
e58f4e63-e397-4772-93e6-9f65791f771b.jpeg,,underwear,blurry background,focused enough
e5de299f-fc21-430b-9e89-accb29a7c77a.jpeg,,tissue,blurry background,focused enough
e6fb4818-5049-4ff6-b52f-76f2786cb95e.jpeg,,underwear,no blurr,focused enough
e71056f7-a905-4a75-939d-48cd1e1ad7c9.jpeg,,tissue,blurry background,focused enough
e72df762-14c2-44c4-9a88-415937d9b5c2.jpeg,,finger,no blurr,focused enough
e805213a-ef23-4403-83af-11385c20af39.png,,finger,blurry background,focused enough
e963c317-1a54-460c-b97c-91e1ccea62e0.jpg,,tissue,blurry background,focused enough
e9a0eaf8-ea39-4a11-bef2-39cbb39a4fec.jpeg,,finger,blurry background,focused enough
e9b2c025-78dd-4466-b3d8-703a9b92f1b3.jpeg,,finger,burry,too blurry
ea0ab254-67ee-4370-85a1-665340751fca.jpeg,,underwear,burry,too blurry
ea4aab0e-7f0a-4d14-8c2a-022d53c306e4.jpeg,,underwear,blurry background,too blurry
eb38327b-baf6-43e3-b573-4338564c46aa.jpeg,,tissue,burry,too blurry
ebc2be24-7140-4123-8b5d-52db478fb960.jpeg,,finger,blurry background,focused enough
ec79931c-6ad5-4565-b7a0-8aa2f2635c52.jpeg,,tissue,blurry background,focused enough
edcb701b-49e9-4a13-88f2-98595010e604.jpeg,,underwear,blurry background,focused enough
f1c5646d-7474-4b0f-b77f-17bf7daab895.jpeg,,underwear,no blurr,focused enough
f21508c1-d21b-482b-91e8-759a816baa14.jpeg,,underwear,no blurr,focused enough
f26e7945-14d6-4df6-8c74-253fcd2957e1.jpeg,,underwear,no blurr,focused enough
f3067a4b-a69c-43a8-96ee-20dcc5a37f73.jpeg,,underwear,blurry background,focused enough
f4260b9e-cb1d-46cb-a32d-08d90de7f927.jpeg,,underwear,blurry background,focused enough
f436047d-45d2-488e-aeca-da4b41161366.jpeg,,finger,blurry background,focused enough
f569c00f-ccc9-4592-82b6-d99db4f850e8.jpeg,,finger,burry,too blurry
f587a82b-26ed-42ef-b819-574a077c5296.jpeg,,finger,blurry background,focused enough
f59466a3-8719-4741-a580-5c6edb6105f9.jpeg,,finger,blurry foreground,too blurry
f6cbff30-6696-47dc-8a63-99c237d925b4.jpeg,,tissue,blurry background,focused enough
f74c533d-86dc-4d2b-a717-20d8b1c76cbe.jpg,,underwear,no blurr,focused enough
f7c59e50-4721-4341-9b75-ef8c7a6f7d2b.jpeg,,underwear,no blurr,focused enough
fbcbf3e8-a2c6-4917-814c-b50ec67bc98c.jpeg,,underwear,blurry background,focused enough
fe8eec54-e4ef-4e02-bbe1-056a5169163c.jpeg,,underwear,burry,too blurry
ff3bd0b9-d3f1-4b86-84a5-3c3154e6d31e.jpeg,,tissue,no blurr,focused enough
ffc2ca07-ba39-4db0-8794-acc86737eadc.jpg,,underwear,burry,too blurry